21 58 37.59818,-15 44 38.1017,0.728045325,-4.4
22 0 10.79073,-15 36 55.0937,0.728036679,-4.4
22 1 43.86835,-15 29 9.6216,0.728027805,-4.4
22 3 16.83164,-15 21 21.7093,0.728018704,-4.4
22 4 49.68122,-15 13 31.3808,0.728009376,-4.4
22 6 22.41774,-15 5 38.6600,0.727999822,-4.4
22 7 55.04185,-14 57 43.5708,0.727990042,-4.4
22 9 27.55424,-14 49 46.1372,0.727980036,-4.4
22 10 59.95561,-14 41 46.3833,0.727969806,-4.4
22 12 32.24666,-14 33 44.3329,0.727959351,-4.4
22 14 4.42812,-14 25 40.0102,0.727948672,-4.4
22 15 36.50075,-14 17 33.4390,0.72793777,-4.4
22 17 8.46531,-14 9 24.6434,0.727926645,-4.4
22 18 40.32259,-14 1 13.6473,0.727915297,-4.4
22 20 12.07337,-13 53 0.4749,0.727903728,-4.4
22 21 43.71847,-13 44 45.1500,0.727891937,-4.4
22 23 15.25873,-13 36 27.6967,0.727879926,-4.4
22 24 46.69499,-13 28 8.1390,0.727867694,-4.4
22 26 18.02811,-13 19 46.5009,0.727855242,-4.4
22 27 49.25896,-13 11 22.8064,0.727842572,-4.4
22 29 20.38844,-13 2 57.0794,0.727829683,-4.4
22 30 51.41745,-12 54 29.3440,0.727816576,-4.4
22 32 22.34691,-12 45 59.6241,0.727803251,-4.4
22 33 53.17776,-12 37 27.9437,0.727789711,-4.4
22 35 23.91094,-12 28 54.3267,0.727775954,-4.4
22 36 54.54742,-12 20 18.7971,0.727761981,-4.4
22 38 25.08817,-12 11 41.3789,0.727747795,-4.4
22 39 55.53418,-12 3 2.0960,0.727733394,-4.4
22 41 25.88645,-11 54 20.9722,0.727718779,-4.4
22 42 56.14600,-11 45 38.0316,0.727703952,-4.4
22 44 26.31386,-11 36 53.2980,0.727688913,-4.4
22 45 56.39105,-11 28 6.7953,0.727673663,-4.4
22 47 26.37865,-11 19 18.5474,0.727658202,-4.4
22 48 56.27770,-11 10 28.5782,0.727642531,-4.4
22 50 26.08928,-11 1 36.9114,0.727626652,-4.4
22 51 55.81449,-10 52 43.5709,0.727610564,-4.4
22 53 25.45442,-10 43 48.5807,0.727594268,-4.4
22 54 55.01018,-10 34 51.9643,0.727577765,-4.4
22 56 24.48289,-10 25 53.7458,0.727561057,-4.4
22 57 53.87368,-10 16 53.9488,0.727544143,-4.4
22 59 23.18369,-10 7 52.5970,0.727527025,-4.4
23 0 52.41408,-09 58 49.7144,0.727509703,-4.4
23 2 21.56601,-09 49 45.3245,0.727492178,-4.4
23 3 50.64064,-09 40 39.4511,0.727474451,-4.4
23 5 19.63917,-09 31 32.1180,0.727456523,-4.4
23 6 48.56278,-09 22 23.3487,0.727438395,-4.4
23 8 17.41267,-09 13 13.1670,0.727420067,-4.4
23 9 46.19005,-09 4 1.5965,0.727401541,-4.4
23 11 14.89614,-08 54 48.6609,0.727382817,-4.4
23 12 43.53217,-08 45 34.3838,0.727363896,-4.4
23 14 12.09937,-08 36 18.7888,0.727344779,-4.4
23 15 40.59900,-08 27 1.8996,0.727325467,-4.4
23 17 9.03229,-08 17 43.7396,0.727305961,-4.4
